Nom et nature,Conditionnement,PPV
"COSYREL 5 MG / 5 MG, Comprimé pelliculé sécable",Boite de 30,98.1
"ZENTEL 0,4 g/10 ml Suspension buvable",Flacon de 10ml,45.9
"COLPOTROPHINE 0,01 , Crème",Tube de 15 g,38.5
"PENAMOX 500 MG, Injectable",Boîte unitaire,10.7
"ALORA 5 MG, Comprimé pelliculé",Boite de 10,29
"ALGOFENE 400 MG, Comprimé pelliculé",Boite de 100,89
"SYNFLORIX, Suspension injectable en seringue pré-rempli","Boîte de 1 seringue de 0,5ml",496
"ACNO 20 MG, Capsule molle",Boîte de 10,106.2
"BENEFIX 250 UI, Poudre et solvant pour solution injectable",Poudre ne flacon de 10 ML + 5 ML de solvant en seringue pré-remplie,2218
"GASTROGRAFINE 370 MG / ML, Solution buvable ou rectale",Flacon de 100 ml,150.7
"GRANOCYTE 34 33,6UI/ml , poudre Lyophilisatilisée et solvant",Boîte de 5 Flacons + 5 ampoules,3199
CUTACNYL GEL À 10%,Tube de 40 g,36.9
"UBIPROX 250 MG, Comprimé pelliculé",Boite de 20,64.5
"MAZAX 400 MG, Poudre pour suspension buvable en sachet",Boîte de 3,170
"PIROCAM SOTHEMA 20 MG / ML , Solution injectable",Boîte de 2 Ampoule de,22
"FELDENE 20 MG, Comprimé dispersible",Boîte de 5,22.5
"NOMETIL, Gélule",Boite de 30,69
"BAITANET D , Solution dermique",Flacon de 120 ml,15.1
"ALFAPROXINE 750 MG, Comprimé pelliculé",Boîte de 10,182.2
"NALOXONE MYLAN 0,4 MG / 1 ML, Solution injectable",Boîte de 10 flacons,538
"FONGICAN 150 mg , Gélule",Boîte de 6,96.9
"CALCIBRONAT 13,3 % Sirop,",Flacon de 200 ml,26.4
"EPHÉDRINE AGUETTANT 3%, Soluté injectable",Boîte de 10 ampoules de 1ml,148.9
"ARCOXIA 60 MG, Comprimé pelliculé",Boîte de 7,117.8
"PRADAXA 110 MG, Gélule",Boite de 60,1026
"NEUPOGEN 48 MU, Solution injectable","Seringue pré-remplie de 1 ml,",1274
"AGIFENE 2%, Suspension buvable",Flacon de 150ml,22.5
"ANCINE 50 MG, Comprimé pelliculé",Boite de 15,36
RHESONATIV 625 UI/ml Solution injectable IM,Boîte de 10 Ampoules de 2ml,5440
"Dr Rougier, Spray gorge",30 ML,65
"LOMET 30mg, Gélule",Boîte de 7,25
"DICLO PHARMA5 75 MG / 3 ML, Ampoule injectable",Boîte de 6 ampoules injectables,41.8
ETHIONAL 250 mg Comprimé,Boîte de 40,149.05
"NOZINAN 100 mg, Comprimé pelliculé sécable",Boîte de 20,57.3
"AGRAM 500 MG , Poudre pour suspension buvable",Boîte de 1 Flacon de 60 ml,47.6
VASOBRAL Comprimé sécable,Boîte de 30,107.1
"ALZOLE 20 MG, Gélule",Boîte de 28,85
SYMBICORT TURBUHALER 100/6 µg Poudre pour inhalation,Poudre pour inhalation / Flacon de 120 doses,243
